Genes,Bc12,Ch40.2,Ch22.2,Ch22.1,Ch22,Ch22.3,Bc12.1,Bc24.1,Bc18.1,Ch40.3,Ch40.1,Bc18,Bc24,Ch40
AT5G50160,6.282603950225165,3.2713550331834504,4.8302279507706345,4.867188408623242,4.87132362155162,4.789725013939721,6.224607554547607,5.786241808334002,5.456728811731831,3.0994455639438017,3.532828915956393,5.037272706024183,5.6828345336431685,3.691216994277862
AT5G42690,0.3071758024952197,0.0,0.2421181532782765,0.1636304204691649,0.1658279017017851,0.3183581788951782,0.3433366180312492,0.9529968816149624,0.1663154030745182,0.0,0.0,0.1266163995526599,0.775470322661501,0.0
AT3G15800,0.1893059497724536,0.442260614647104,0.6228238651890075,1.1647772936417429,1.1760945672100842,0.7903721550316828,0.1549834072111305,1.3339075184754183,0.7064479796982118,0.4417284438976691,0.3658646384387286,0.0945824855933521,1.428401476875926,1.0407374520162982
AT5G24215,1.781847860022493,1.7870576963831917,1.8808108058925448,1.7759365049884892,1.6432759863975082,1.8041753161684144,2.42426314652845,1.021876754486155,1.482322748921309,1.6893721516974924,1.4818071336327756,1.4241077376803812,0.7497629856887966,1.6550347247090624
AT4G11270,3.952167798123945,4.178246233906403,4.789739075626408,4.798644102636948,4.821823774565122,4.8083028053481405,3.898874358971485,4.348538286363643,4.243622396884544,4.148541538224939,4.27152916787664,4.363121783776034,4.483201581653779,4.32442832891021
AT5G55450,4.7714113106137646,4.780554183694218,5.447150212793848,4.478073553811537,4.813745423671478,5.331723948393711,4.232063800032361,8.437274440538292,4.391636147090236,5.223635840764379,5.69792257138533,4.273662699860164,8.683269228461082,5.8522240224306445
AT4G38580,3.9405461163969218,3.4558134599275148,5.481403289400948,5.095724121103065,5.217544259275978,5.447993535315975,3.679199642082677,4.71240122644394,1.8906912906107975,3.5544507925211333,4.335603104795205,1.996314794835226,4.664952177258377,4.309679040066696
AT5G15840,1.810153816189652,0.8234383803135668,1.2724160250700751,0.1723376278446429,0.4709899045121515,0.935819882119348,2.2420505035637897,0.5473573992415248,1.3499581022869318,0.5968037859722835,0.6327017335737035,0.4726295506148484,0.7817700120000093,0.7547639408669742
AT1G49510,4.819991714696176,3.2971461904468216,4.189968621617427,4.028852391421023,4.074836378325755,4.07967864974651,4.948269672641845,4.4394171162939084,4.705920414414681,3.047966338718381,3.678050944984598,4.6833658791283925,4.329783049891784,3.518434163534893
AT3G24255,1.1031172522919357,0.4075108325713844,1.3303269887220348,0.9167690320144458,0.6535632892362941,1.0556201691927465,1.1115942687797176,0.9429860562881408,0.83198221005416,0.4930572679909542,0.9730544132112556,0.9901415317167566,0.9374106575693204,0.5665594480481709
